Component,Monthly Percent Change,Relative Importance,Cumulative Relative Importance
Bakery products,0.27,0.65,60.87
Household paper products,0.27,0.27,61.14
Child care,0.27,0.28,61.42
Day care and nursery schools,0.27,0.09,61.52
Net household insurance (111),0.28,0.07,61.58
Video and audio streaming and rental,0.29,0.34,61.92
Household cleaning products,0.31,0.27,62.19
Vocational rehabilitation services,0.31,0.07,62.26
Commercial and vocational schools (99),0.33,0.38,62.64
Cereals,0.34,0.37,63.02
Pleasure aircraft,0.36,0.01,63.03
Pleasure boats,0.36,0.15,63.18
Bicycles and accessories,0.36,0.05,63.23
Other recreational vehicles,0.36,0.22,63.46
"Food products, not elsewhere classified",0.38,1.12,64.57
Social advocacy and civic and social organizations,0.39,0.12,64.7
Electric appliances for personal care,0.39,0.07,64.77
"Hair, dental, shaving, and miscellaneous personal care products except electrical products",0.39,0.53,65.3
Foundations and grantmaking and giving services to households,0.4,0.06,65.36
Tenant-occupied mobile homes,0.42,0.08,65.44
Tenant-occupied stationary homes and landlord durables,0.42,3.57,69.01
Group housing (23),0.42,0.01,69.02
Repair and hire of footwear,0.46,0,69.02
Miscellaneous personal care services,0.46,0.53,69.56
"Clothing repair, rental, and alterations",0.46,0.02,69.58
"Moving, storage, and freight services",0.46,0.15,69.74
Rental value of farm dwellings (22),0.48,0.14,69.88
Owner-occupied mobile homes,0.48,0.49,70.37
Owner-occupied stationary homes,0.48,10.91,81.28
Vegetables (fresh),0.49,0.35,81.63
Tobacco (127),0.49,0.56,82.19
Processed dairy products,0.53,0.35,82.54
Internet access (72),0.53,0.49,83.03
"Cable, satellite, and other live television services",0.54,0.5,83.54
Dental services (45),0.54,0.88,84.42
Cosmetic / perfumes / bath / nail preparations and implements,0.56,0.41,84.83
Hairdressing salons and personal grooming establishments,0.57,0.43,85.26
Nonprofit nursing homes' services to households,0.57,0.33,85.59
Proprietary and government nursing homes,0.58,0.87,86.47
Employment agency services,0.58,0.01,86.47
Intercity buses,0.59,0.01,86.48
Railway transportation,0.59,0.01,86.49
Other road transportation service,0.59,0.17,86.65
Water transportation (65),0.59,0.02,86.67
"Coffee, tea, and other beverage materials",0.59,0.12,86.79
Other professional medical services,0.62,1.61,88.39
Watches,0.62,0.11,88.51
Other meats,0.71,0.25,88.76
Veterinary and other services for pets,0.72,0.36,89.12
"Clocks, lamps, lighting fixtures, and other household decorative items",0.77,0.38,89.5
Parking fees and tolls,0.82,0.21,89.71
Membership clubs and participant sports centers,0.83,0.32,90.03
Spirits,0.85,0.23,90.26
Processed fruits and vegetables,0.86,0.21,90.47
Housing at schools,0.87,0.25,90.72
Funeral and burial services,0.91,0.2,90.92
Dishes and flatware,0.93,0.15,91.07
"Land-line telephone services, long-distance charges",0.99,0.04,91.11
"Land-line telephone services, local charges",0.99,0.08,91.19
Residential mental health and substance abuse,0.99,0.1,91.28
Recreational books (part of 90),0.99,0.15,91.43
Package tours,1,0.12,91.55
"Amusement parks, campgrounds, and related recreational services",1,0.34,91.89
Motor vehicle maintenance and repair (60),1.03,1.28,93.17
Domestic services,1.04,0.18,93.35
Elementary and secondary schools,1.05,0.22,93.57
Garbage and trash collection,1.08,0.22,93.79
Commercial banks,1.1,1.14,94.93
Over-the-counter equity securities,1.17,0.04,94.96
Children's and infants' clothing (12),1.33,0.12,95.09
Photo processing,1.42,0.01,95.1
Air transportation (64),1.59,0.97,96.06
Intracity mass transit,1.66,0.08,96.15
Taxicabs and ride sharing services,1.66,0.09,96.24
Mutual fund sales charges,1.66,0.06,96.29
Exchange-listed equities,1.68,0.02,96.31
"Video discs, tapes, and permanent digital downloads",1.69,0.1,96.41
Other video equipment,1.71,0.12,96.53
Film and photographic supplies,1.77,0.01,96.54
Other household services,1.79,0.21,96.75
Nonprescription drugs,1.92,0.55,97.3
Natural gas (28),1.95,0.41,97.71
Beef and veal,2.37,0.34,98.05
Clothing materials,2.39,0.03,98.08
Sewing items,2.39,0.01,98.09
Fuel oil,3.01,0.12,98.21
Spectator sports,5.85,0.23,98.44
Portfolio management and investment advice services,7.35,1.5,99.94
"Repair of furniture, furnishings, and floor coverings",9,0.01,99.95
Repair of household appliances,9,0.05,100
